187	149	199	258	269	0	0	FULL	1	27229
294	186	138	900	484	0	0	FULL	2	12374
274	184	129	4134	2000	16	18	ALL_EDGES	3	22222
252	205	184	7381	2000	27	23	FULL	2	11174
334	250	114	1919	515	0	0	FULL	2	24827
334	260	132	6762	1152	12	14	ALL_EDGES	1	12166
204	162	135	180	368	28	28	FULL	1	4338
268	205	137	1072	250	0	0	ALL_EDGES	3	14396
343	262	94	2227	587	13	16	ALL_EDGES	2	11448
403	143	182	5302	1177	16	16	ALL_EDGES	1	1123
230	153	297	10615	2000	23	23	FULL	1	8827
250	185	163	1020	250	26	26	FULL	2	5567
274	221	157	6602	2000	0	0	FULL	2	25411
253	174	193	6757	2000	25	27	FULL	2	22358
321	241	97	3885	1065	12	13	FULL	1	5530
213	150	360	13167	2000	21	23	FULL	1	11255
217	192	204	994	390	0	0	FULL	1	28013
358	210	100	3750	1056	12	6	FULL	2	12796
198	170	224	7132	2000	23	19	ALL_EDGES	1	16835
344	222	125	1605	250	31	29	FULL	2	21030
382	215	201	1600	376	34	30	FULL	1	16844
388	295	109	2787	798	11	11	FULL	4	13845
431	321	134	1794	380	0	0	FULL	3	13651
304	251	163	1762	701	0	0	FULL	1	27403
331	229	178	1593	348	22	30	ALL_EDGES	2	26758
321	226	172	8437	2000	0	0	FULL	1	24843
340	217	211	11206	2000	0	0	FULL	2	13002
324	188	271	13662	2000	0	0	FULL	3	32400
300	211	244	12694	2000	24	31	FULL	4	10875
259	205	253	12015	2000	25	27	FULL	1	624
424	243	150	8649	489	29	25	FULL	1	30554
285	263	246	15558	2000	28	28	FULL	1	18225
311	191	210	9387	2000	24	22	FULL	1	30040
379	219	187	10075	2000	18	17	FULL	4	31107
277	204	292	15196	2000	23	28	FULL	2	10196
234	185	289	3762	250	0	0	FULL	1	32303
323	223	243	1470	250	0	0	FULL	1	14100
339	158	308	14206	2000	0	0	FULL	1	5277
371	285	185	12733	1645	18	25	ALL_EDGES	2	18874
242	202	337	17292	1484	9	13	FULL	4	10771
365	215	184	2784	250	18	20	FULL	2	26640
354	230	178	9512	2000	11	15	FULL	2	8590
256	239	220	11313	2000	8	9	FULL	2	32198
324	225	198	10396	2000	0	0	FULL	1	17170
498	384	105	8780	798	0	0	FULL	4	9309
459	262	129	1441	541	33	37	ALL_EDGES	2	10355
353	257	137	2600	935	0	0	FULL	1	4251
311	208	254	13513	2000	0	0	FULL	4	14428
310	236	266	16341	2000	31	31	FULL	2	21022
337	207	279	1248	250	30	27	FULL	1	15304
293	265	162	8550	2000	43	39	FULL	1	24459
414	231	141	3834	983	13	19	FULL	1	10570
340	305	178	12358	2000	0	0	FULL	1	24428
332	182	323	3724	296	0	0	ALL_EDGES	3	9625
