277	191	105	3162	870	0	0	FULL	1	21287
209	160	315	714	250	0	0	FULL	3	23722
195	137	168	3780	2000	0	0	FULL	3	6058
256	193	172	6375	2000	0	0	FULL	1	10229
214	140	249	1350	676	0	0	FULL	2	3723
394	262	111	2898	580	12	15	FULL	2	13160
378	214	130	5775	864	0	0	FULL	1	3699
207	203	274	667	250	23	20	FULL	3	3226
267	156	275	10476	2000	47	47	FULL	4	16934
277	107	387	12052	1372	0	0	FULL	1	17911
316	208	114	4215	1136	0	0	ALL_EDGES	1	1435
243	195	73	1816	1077	0	0	FULL	2	28150
270	208	152	960	250	0	0	FULL	2	31392
380	259	117	2265	250	0	0	FULL	5	2944
296	182	158	5737	2000	19	21	FULL	2	29571
320	209	180	1944	773	22	26	FULL	1	13709
321	222	63	1732	1261	15	10	FULL	1	13760
311	186	147	5414	2000	0	0	FULL	2	24793
236	136	202	5440	2000	0	0	FULL	1	3064
324	294	111	5764	854	8	10	FULL	6	30005
388	200	148	6647	1176	15	14	FULL	1	23131
279	203	131	4777	2000	18	14	FULL	1	7666
251	198	231	1805	581	0	0	FULL	1	11410
229	159	206	412	330	0	0	FULL	2	11125
315	119	228	6587	2000	0	0	FULL	1	8260
314	194	123	4380	1148	10	16	FULL	4	2042
262	241	182	8740	2000	20	21	FULL	2	22281
284	179	187	7058	1244	30	30	FULL	3	19489
294	231	111	4305	1025	16	20	FULL	2	12892
333	199	173	7659	1265	0	0	FULL	2	31741
349	256	118	5733	835	0	0	FULL	1	31390
344	240	91	1875	588	12	16	FULL	4	13458
295	257	125	5766	1184	0	0	FULL	1	15646
281	219	187	1219	591	0	0	FULL	2	21749
277	141	296	10660	2000	0	0	FULL	2	25153
229	181	181	1927	1099	0	0	ALL_EDGES	1	32278
404	282	83	4132	1010	15	26	FULL	3	16029
193	156	116	2492	2000	0	0	FULL	2	2694
479	301	80	1656	250	17	20	FULL	1	15592
221	220	155	5722	2000	0	0	FULL	1	20350
286	279	94	1080	250	5	2	FULL	1	24827
327	214	164	1587	430	0	0	FULL	1	21674
261	246	133	5601	2000	0	0	FULL	1	30883
339	275	124	3001	250	0	0	FULL	1	23733
274	176	155	5190	2000	0	0	FULL	1	10298
299	222	129	5193	1164	0	0	FULL	3	9179
337	265	118	1827	482	8	6	FULL	2	17826
373	307	100	2691	258	0	0	ALL_EDGES	1	19170
330	192	150	5947	2000	16	13	FULL	3	30300
356	237	101	4284	826	0	0	FULL	2	15111
325	216	172	8052	2000	19	26	FULL	1	5955
204	182	147	4257	488	23	19	FULL	2	2525
331	198	146	1368	250	0	0	FULL	2	7406
304	246	113	4853	859	15	16	FULL	9	13032
363	254	124	1656	711	17	24	FULL	2	27654
220	140	277	8500	2000	20	23	FULL	2	10501
330	240	133	2404	549	0	0	FULL	4	17732
354	264	91	3247	677	15	22	FULL	2	21902
270	258	164	8234	2000	9	6	FULL	1	17912
440	238	110	5462	1059	0	0	FULL	2	23137
231	126	257	4455	2000	0	0	FULL	2	22231
384	193	142	5974	867	0	0	FULL	5	16459
272	180	215	8484	2600	0	0	FULL	2	358
182	165	216	1956	1249	0	0	ALL_EDGES	3	22771
292	249	117	1615	250	14	17	FULL	1	22228
286	206	178	7602	2000	0	0	ALL_EDGES	2	20212
362	212	150	6911	1201	0	0	FULL	1	32074
288	206	177	7560	2000	22	25	FULL	4	13668
238	150	154	803	719	0	0	FULL	3	13032
